Stock,Model Name 0,Accuracy 0,Precision 0,Model Name 1,Accuracy 1,Precision 1
MU,MLPClassifier,0.5162287480680062,0.64,LogisticRegression,0.5388974755280783,0.5882352941176471
UPS,MLPClassifier,0.5301391035548686,0.5294117647058824,LogisticRegression,0.5620814013395157,0.55
IQV,MLPClassifier,0.5231607629427792,0.6172839506172839,LogisticRegression,0.5749318801089919,0.5811965811965812
HST,MLPClassifier,0.5543534260690366,0.5361635220125787,LogisticRegression,0.5414734672849046,0.6567164179104478
PPG,MLPClassifier,0.5481710458526533,0.5109034267912772,LogisticRegression,0.5574446161772282,0.5195007800312013
TMUS,MLPClassifier,0.5195791934541204,0.5066803699897225,LogisticRegression,0.548801870251315,0.5644171779141104
FE,MLPClassifier,0.5543534260690366,0.5653082549634274,LogisticRegression,0.5455950540958269,0.5820668693009119
MOS,MLPClassifier,0.5466254507985574,0.5392895586652314,LogisticRegression,0.5574446161772282,0.5514223194748359
CL,MLPClassifier,0.5208655332302936,0.4587378640776699,LogisticRegression,0.5620814013395157,0.5395189003436426
FTV,MLPClassifier,0.5427841634738186,0.5490196078431373,LogisticRegression,0.5708812260536399,0.6625
